Doctor Name,Address,PTR
ALISTAIR MARIE ALCAIN,nan,nan
AVEGAIL JUNSAY,nan,nan
MARITA FUENTES,nan,nan
RHEA MAE PACOLI,nan,nan
JOHANIYA DIMAPORO,nan,nan
DANIELLE LOUIS VILLANUEVA,nan,nan
JOHN DANIEL RAMOS,nan,nan
RAYMUND LIBERATO,nan,nan
BERNADETTE HALASAN,nan,nan
CARLO TRINIDAD,nan,nan
DENISE JOY LOPEZ,nan,nan
DEBBIE UDARBE,nan,nan
LILYBEL ESTEPA,nan,nan
JENNIFER VICERA,nan,nan
ANNA ABARQUEZ,nan,nan
SHALEY MARCOS,nan,nan
VICTOR PANGANIBAN,nan,nan
LENDRY QUIZON,nan,nan
RUBEN FLORES,nan,nan
EDGAR WILSON TIMBOL,nan,nan
CRISTINA ACUESTA,nan,nan
RAULDAN GALVEZ,nan,nan
JAY FONTE,nan,nan
IAN BAGAOISAN,nan,nan
CHARLENE BALILI,nan,nan
REAGAN TAN,nan,nan
AURELIO REYES,nan,nan
AIMEE VERIDIANO,nan,nan
MINDA SIASOCO,nan,nan
RENE FERNANDEZ,nan,nan
JEN RACHELLE SANTOS,nan,nan
AARON SOMBRETO,nan,nan
CUARESMA JOSEPH,nan,nan
RAMIREZ DANIVC,nan,nan
SERAFICO VERNON,nan,nan
DELOS REYES CHRISTIAN PAUL,nan,nan
CASIGURAN VIOLETA,nan,nan
GONZALES IRISH JUDY,nan,nan
YVETTE YENCO TAN,nan,nan
BERNARD CHIEW,nan,nan
KRISTIN L SANDOVAL,nan,nan
WARNER CAMARAO,nan,nan
CLARISSA ARSOLON,nan,nan
NESTOR ESTRADA,nan,nan
ELFRED BATALLA,nan,nan
EVELYN B RAVELO,nan,nan
ANGELICA TRINO,nan,nan
KAREN J LACIDA DACUDAO,nan,nan
JOSE AGUIRRE,nan,nan
ROSALIE OREJUDOS,nan,nan
MACRINE GRACE G AMATO,nan,nan
JOSEPH NOEL FERNANDO,nan,nan
JERRY PORZA,nan,nan
FLOHERNA FRANCO DICCION,nan,nan
KRISTINE CHIONG,nan,nan
KATHLEEN JOY GARINGARAO,nan,nan
DICKSON LAO,nan,nan
RUBY BEATRIZ ALCANTARA,nan,nan
JUDY ANNE YUZON,nan,nan
RYAN ANDREW ALFONSO,nan,nan
DON AVILA DUERO MD,nan,nan
ELIPE BALINGIT,nan,nan
MARLON LOQUIAS,nan,nan
AMILBAHAR KARIM,nan,nan
DARYL VALDEHUESA,nan,nan
ARIEL GREGORIOS,nan,nan
AMELYN ULANGHUTAN,nan,nan
CARLO JAN P GARINGARAO,nan,nan
IRENE DAMPIL,nan,nan
RONALD VELASQUEZ,nan,nan
JEROME REYMATIAS,nan,nan
ROSS ALLAN MENDOZA,nan,nan
ELIDORO TANTOO,nan,nan
MARIO PANLILIO,nan,nan
RASTY MEJIA,nan,nan
MARC ANGELO HIZON,nan,nan
ALFREDO FLORES,nan,nan
RACHEL GARCIA,nan,nan
DONALD RHEY PUNO,nan,nan
MARK JAY ROBLES,nan,nan
PAUL CLARENCE YAP,nan,nan
EVANGELINE SALVADOR,nan,nan
TESSIE AQUINO,nan,nan
CRISTINA SALAS PAYNOR,nan,nan
KATHLEEN RIVERA,nan,nan
ALFREDO PUNSALAN,nan,nan
ABEL BALUYUT,nan,nan
JOHN KIT,nan,nan
FLORINDA LANSANG,nan,nan
JANNICE LORIE TUASON,nan,nan
RODOLFO UY,nan,nan
ANGELITO RIOVEROS,nan,nan
SHERYL TUGNA,nan,nan
ALEXANDER BATOON,nan,nan
SHEILA MARIE RAMOS,nan,nan
ELAINE DELA VEGA,nan,nan
PATRICK RAYMOND RAMOS,nan,nan
MARIA NIKKI CRUZ,nan,nan
MELISSA CUNDANGAN,nan,nan
ERDULFO TANDOC,nan,nan
MARK JOSEPH LORENZO,nan,nan
MARIEL CRUZ BARCELON,nan,nan
EFIPANIA COLLANTES,nan,nan
MARY ANN BATONGBACAL,nan,nan
CORBELITA SINGSON,nan,nan
BLANCA DE GUZMAN,nan,nan
LEVY DE JESUS,nan,nan
GIZELLE GERALDINE LIM,nan,nan
FRANCO TORDESILLAS,nan,nan
ARACELI MALIWAT,nan,nan
DELIA NGO,nan,nan
FLORANTE TIMBREZA,nan,nan
CLARA MEA LOVELLA,nan,nan
RHODA MIGUEL,nan,nan
CARIDAD HIPOLITO,nan,nan
CATHERINE CARLOS,nan,nan
LUIS HABANA,nan,nan
DAISY JARCIA,nan,nan
JERRY CASTRO,nan,nan
DAVERIC PAGSISIHAN,nan,nan
REI SALANGSANG,nan,nan
GERARD MERCADAL,nan,nan
REYNALDO FLORES,nan,nan
JENNYLYND TORRIJOS,nan,nan
THELMA CRISOSTOMO,nan,nan
OLIVER SANSANO,nan,nan
NERISSA ANG GOLANCO,nan,nan
DEXTER SCHROTH,nan,nan
DANIEL JACOB BAUTISTA,nan,nan
GENEVIEVE PACHECO,nan,nan
LYNN BILAR,nan,nan
JOSE ARMAND GURANGO,nan,nan
ANGELITO REYES,nan,nan
MARITONI CONCEPCION RAPADAS ILAO,nan,nan
CESAR ZULUETA,nan,nan
MA. CECILE CRUZ,nan,nan
RIZZA UMALI,nan,nan
NOEL ALIDIO,nan,nan
CLIFFORD CURAMENG,nan,nan
